"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"94",94,"Kent","MI",856,500631,29.6,10.8,1007,1460,31553,80.3,20.7,6.9,7.5,18674,9349,2
"35",35,"Hartford","CT",736,851783,28.3,14.1,2851,2940,51926,77.7,25.8,6,6.9,24875,21188,1
"424",424,"Wayne","NC",553,104666,29.7,10.2,113,263,4682,71.2,12.7,11.9,7.3,13350,1397,3
"297",297,"Smith","TX",929,151309,26.2,13.7,349,795,11712,75.7,19.8,12.6,6.6,17511,2650,3
"327",327,"Winnebago","WI",439,140320,30.3,12.8,242,528,6170,80.6,18.2,5.3,4.8,17645,2476,2
"347",347,"Porter","IN",418,128932,26.4,9.8,170,379,4014,82.4,18.5,4.6,4.5,17566,2265,2
"164",164,"Lehigh","PA",347,291130,26.3,15.4,637,1305,12254,74.6,19.6,4.9,6.6,19785,5760,1
"216",216,"Kalamazoo","MI",562,223411,32.4,10.6,614,793,15306,83.4,27.1,8.9,5.9,18288,4086,2
"33",33,"Hamilton","OH",407,866228,28,13.3,3164,4683,57208,75.6,23.7,10.3,4.5,20580,17827,2
"157",157,"Orange","NY",816,307647,28,10.4,479,986,10975,77.2,19.5,6.4,6.7,19788,6088,1
"411",411,"Osceola","FL",1322,107728,27.1,13.9,98,291,9665,73.7,11.2,6.9,6.7,16451,1772,3
